Block,attack_rate,AGT_static,AGT_selfevolve,XGB_static,XGB_retrained,AGT_SE_recall,XGB_re_recall,OnlineMLP
1,0.264,0.6364,0.6364,0.7661,0.7661,0.0236,0.2783,0.7533
2,0.343,0.5541,0.7578,0.774,0.9884,0.994,0.9672,0.9061
3,0.143,0.8367,0.9252,0.8982,0.9519,0.5714,0.6957,0.873
4,0.753,0.977,0.9531,0.5635,0.5803,0.9996,0.4256,0.1113
5,0.981,0.9648,0.9906,0.5625,1.0,0.9976,1.0,0.9872
6,0.993,0.9839,0.9994,0.5734,1.0,0.9994,1.0,0.9893
7,0.624,0.9823,0.6951,0.8526,0.9988,0.5188,0.999,0.8984
8,0.307,0.884,0.9562,0.8858,0.9899,0.8705,0.971,0.8524
