sigma,C&C,Exfiltration,Exploitation,Lateral _movement,Normal,RDOS,Reconnaissance,Tampering,Weaponization,crypto-ransomware
0.0,0.855,0.995,0.739,0.92,0.969,0.998,0.92,0.913,0.993,0.941
0.1,0.836,0.995,0.739,0.919,0.97,0.999,0.92,0.894,0.991,0.941
0.2,0.862,0.995,0.607,0.91,0.968,0.997,0.908,0.852,0.985,0.941
0.3,0.829,0.995,0.554,0.892,0.97,0.998,0.911,0.773,0.981,0.889
0.4,0.836,0.995,0.294,0.863,0.968,0.997,0.897,0.676,0.976,0.875
0.5,0.86,0.992,0.295,0.855,0.966,0.997,0.881,0.735,0.952,0.875
